"Name","ReferenceDate","InstrumentType","Type","Strike","MaturityDate","SpotPrice"
"FH9D",2014-12-12,"EUROPEAN","CALL",165000,2015-01-02,0.01
"FH9F",2014-12-12,"EUROPEAN","CALL",165500,2015-01-02,0.01
"FH9G",2014-12-12,"EUROPEAN","CALL",166000,2015-01-02,0.01
"FH9H",2014-12-12,"EUROPEAN","CALL",166500,2015-01-02,0.01
"FH8F",2014-12-12,"EUROPEAN","CALL",167000,2015-01-02,0.01
"FH9J",2014-12-12,"EUROPEAN","CALL",167100,2015-01-02,0.01
"FH8G",2014-12-12,"EUROPEAN","CALL",167200,2015-01-02,0.01
"FH9K",2014-12-12,"EUROPEAN","CALL",167300,2015-01-02,0.01
"FH8H",2014-12-12,"EUROPEAN","CALL",167400,2015-01-02,0.01
"FH9L",2014-12-12,"EUROPEAN","CALL",167500,2015-01-02,0.01
"FH8J",2014-12-12,"EUROPEAN","CALL",167600,2015-01-02,0.01
"FH9M",2014-12-12,"EUROPEAN","CALL",167700,2015-01-02,0.01
"FH8K",2014-12-12,"EUROPEAN","CALL",167800,2015-01-02,0.01
"FH9N",2014-12-12,"EUROPEAN","CALL",167900,2015-01-02,0.01
"FH8L",2014-12-12,"EUROPEAN","CALL",168000,2015-01-02,0.01
"FH8M",2014-12-12,"EUROPEAN","CALL",168200,2015-01-02,0.01
"FH8N",2014-12-12,"EUROPEAN","CALL",168400,2015-01-02,0.01
"FH8P",2014-12-12,"EUROPEAN","CALL",168600,2015-01-02,0.01
"FH8Q",2014-12-12,"EUROPEAN","CALL",168800,2015-01-02,0.01
"FH8R",2014-12-12,"EUROPEAN","CALL",169000,2015-01-02,0.01
"FH9P",2014-12-12,"EUROPEAN","CALL",169100,2015-01-02,0.01
"FH8S",2014-12-12,"EUROPEAN","CALL",169200,2015-01-02,0.01
"FH9Q",2014-12-12,"EUROPEAN","CALL",169300,2015-01-02,0.01
"FH8T",2014-12-12,"EUROPEAN","CALL",169400,2015-01-02,0.01
"FH9R",2014-12-12,"EUROPEAN","CALL",169500,2015-01-02,0.01
"FH8V",2014-12-12,"EUROPEAN","CALL",169600,2015-01-02,0.01
"FH9S",2014-12-12,"EUROPEAN","CALL",169700,2015-01-02,0.01
"FH8W",2014-12-12,"EUROPEAN","CALL",169800,2015-01-02,0.01
"FH9T",2014-12-12,"EUROPEAN","CALL",169900,2015-01-02,0.01
"FH8X",2014-12-12,"EUROPEAN","CALL",170000,2015-01-02,0.01
"FH9V",2014-12-12,"EUROPEAN","CALL",170100,2015-01-02,0.01
"FH9W",2014-12-12,"EUROPEAN","CALL",170200,2015-01-02,0.01
"FH9X",2014-12-12,"EUROPEAN","CALL",170300,2015-01-02,0.01
"FH9Y",2014-12-12,"EUROPEAN","CALL",170400,2015-01-02,0.01
"FH8Y",2014-12-12,"EUROPEAN","CALL",170500,2015-01-02,0.01
"FH9C",2014-12-12,"EUROPEAN","CALL",170600,2015-01-02,0.01
"FH9Z",2014-12-12,"EUROPEAN","CALL",170700,2015-01-02,0.01
"FHB0",2014-12-12,"EUROPEAN","CALL",170800,2015-01-02,0.01
"FHB1",2014-12-12,"EUROPEAN","CALL",170900,2015-01-02,0.01
"FH8Z",2014-12-12,"EUROPEAN","CALL",171000,2015-01-02,0.01
"FHB2",2014-12-12,"EUROPEAN","CALL",171100,2015-01-02,0.01
"FHB3",2014-12-12,"EUROPEAN","CALL",171200,2015-01-02,0.01
"FHB4",2014-12-12,"EUROPEAN","CALL",171300,2015-01-02,0.01
"FHB5",2014-12-12,"EUROPEAN","CALL",171400,2015-01-02,0.01
"FH90",2014-12-12,"EUROPEAN","CALL",171500,2015-01-02,0.01
"FHB6",2014-12-12,"EUROPEAN","CALL",171700,2015-01-02,0.01
"FHB7",2014-12-12,"EUROPEAN","CALL",171800,2015-01-02,0.01
"FHB8",2014-12-12,"EUROPEAN","CALL",171900,2015-01-02,0.01
"FH91",2014-12-12,"EUROPEAN","CALL",172000,2015-01-02,0.01
"FHBY",2014-12-12,"EUROPEAN","CALL",172100,2015-01-02,0.01
"FHBZ",2014-12-12,"EUROPEAN","CALL",172200,2015-01-02,0.01
"FHC0",2014-12-12,"EUROPEAN","CALL",172300,2015-01-02,0.01
"FHC1",2014-12-12,"EUROPEAN","CALL",172400,2015-01-02,0.01
"FH92",2014-12-12,"EUROPEAN","CALL",172500,2015-01-02,0.01
"FHC2",2014-12-12,"EUROPEAN","CALL",172600,2015-01-02,0.01
"FHC3",2014-12-12,"EUROPEAN","CALL",172700,2015-01-02,0.01
"FHC4",2014-12-12,"EUROPEAN","CALL",172800,2015-01-02,0.01
"FHC5",2014-12-12,"EUROPEAN","CALL",172900,2015-01-02,0.01
"FH93",2014-12-12,"EUROPEAN","CALL",173000,2015-01-02,0.01
"FHC6",2014-12-12,"EUROPEAN","CALL",173100,2015-01-02,0.01
"FHC7",2014-12-12,"EUROPEAN","CALL",173200,2015-01-02,0.01
"FHC8",2014-12-12,"EUROPEAN","CALL",173300,2015-01-02,0.01
"FHC9",2014-12-12,"EUROPEAN","CALL",173400,2015-01-02,0.01
"FH94",2014-12-12,"EUROPEAN","CALL",173500,2015-01-02,0.01
"FHB9",2014-12-12,"EUROPEAN","CALL",173600,2015-01-02,0.01
"FHBB",2014-12-12,"EUROPEAN","CALL",173700,2015-01-02,0.01
"FHBC",2014-12-12,"EUROPEAN","CALL",173800,2015-01-02,0.01
"FHBD",2014-12-12,"EUROPEAN","CALL",173900,2015-01-02,0.01
"FH95",2014-12-12,"EUROPEAN","CALL",174000,2015-01-02,0.01
"FHBF",2014-12-12,"EUROPEAN","CALL",174100,2015-01-02,0.01
"FHBG",2014-12-12,"EUROPEAN","CALL",174200,2015-01-02,0.01
"FHBH",2014-12-12,"EUROPEAN","CALL",174300,2015-01-02,0.01
"FHBJ",2014-12-12,"EUROPEAN","CALL",174400,2015-01-02,0.01
"FH96",2014-12-12,"EUROPEAN","CALL",174500,2015-01-02,0.01
"FHBK",2014-12-12,"EUROPEAN","CALL",174600,2015-01-02,0.01
"FHBL",2014-12-12,"EUROPEAN","CALL",174700,2015-01-02,0.01
"FHBM",2014-12-12,"EUROPEAN","CALL",174800,2015-01-02,0.01
"FHBN",2014-12-12,"EUROPEAN","CALL",174900,2015-01-02,0.01
"FH97",2014-12-12,"EUROPEAN","CALL",175000,2015-01-02,0.01
"FHBP",2014-12-12,"EUROPEAN","CALL",175100,2015-01-02,0.01
"FHBQ",2014-12-12,"EUROPEAN","CALL",175200,2015-01-02,0.01
"FHBR",2014-12-12,"EUROPEAN","CALL",175300,2015-01-02,0.01
"FHBS",2014-12-12,"EUROPEAN","CALL",175400,2015-01-02,0.01
"FH98",2014-12-12,"EUROPEAN","CALL",175500,2015-01-02,0.01
"FHBT",2014-12-12,"EUROPEAN","CALL",175600,2015-01-02,0.01
"FHBV",2014-12-12,"EUROPEAN","CALL",175700,2015-01-02,0.01
"FHBW",2014-12-12,"EUROPEAN","CALL",175800,2015-01-02,0.01
"FHBX",2014-12-12,"EUROPEAN","CALL",175900,2015-01-02,0.01
