"Name","ReferenceDate","InstrumentType","Type","Strike","MaturityDate","SpotPrice"
"FHFD",2014-12-12,"EUROPEAN","PUT",165000,2015-01-02,34590.7
"FHFF",2014-12-12,"EUROPEAN","PUT",165500,2015-01-02,35087.88
"FHFG",2014-12-12,"EUROPEAN","PUT",166000,2015-01-02,35585.06
"FHFH",2014-12-12,"EUROPEAN","PUT",166500,2015-01-02,36082.24
"FHDF",2014-12-12,"EUROPEAN","PUT",167000,2015-01-02,36579.42
"FHFJ",2014-12-12,"EUROPEAN","PUT",167100,2015-01-02,36678.85
"FHDG",2014-12-12,"EUROPEAN","PUT",167200,2015-01-02,36778.29
"FHFK",2014-12-12,"EUROPEAN","PUT",167300,2015-01-02,36877.72
"FHDH",2014-12-12,"EUROPEAN","PUT",167400,2015-01-02,36977.16
"FHFL",2014-12-12,"EUROPEAN","PUT",167500,2015-01-02,37076.6
"FHDJ",2014-12-12,"EUROPEAN","PUT",167600,2015-01-02,37176.03
"FHFM",2014-12-12,"EUROPEAN","PUT",167700,2015-01-02,37275.47
"FHDK",2014-12-12,"EUROPEAN","PUT",167800,2015-01-02,37374.9
"FHFN",2014-12-12,"EUROPEAN","PUT",167900,2015-01-02,37474.34
"FHDL",2014-12-12,"EUROPEAN","PUT",168000,2015-01-02,37573.78
"FHDM",2014-12-12,"EUROPEAN","PUT",168200,2015-01-02,37772.65
"FHDN",2014-12-12,"EUROPEAN","PUT",168400,2015-01-02,37971.52
"FHDP",2014-12-12,"EUROPEAN","PUT",168600,2015-01-02,38170.39
"FHDQ",2014-12-12,"EUROPEAN","PUT",168800,2015-01-02,38369.26
"FHDR",2014-12-12,"EUROPEAN","PUT",169000,2015-01-02,38568.13
"FHFP",2014-12-12,"EUROPEAN","PUT",169100,2015-01-02,38667.57
"FHDS",2014-12-12,"EUROPEAN","PUT",169200,2015-01-02,38767.01
"FHFQ",2014-12-12,"EUROPEAN","PUT",169300,2015-01-02,38866.44
"FHDT",2014-12-12,"EUROPEAN","PUT",169400,2015-01-02,38965.88
"FHFR",2014-12-12,"EUROPEAN","PUT",169500,2015-01-02,39065.31
